"Data Source","World Development Indicators","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Updated Date","2/21/2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Bangladesh","BGD","GDP (current US$)","NY.GDP.MKTP.CD","4274894083.3333","4817580375","5081413541.6667","5319458562.5","5386054833.3333","5906636791.6667","6439687854.1667","7253575687.5","7483685770.8333","8471006437.5","8992722166.6667","8751843187.5","6288245866.6667","8086725729.3407","12512460519.709","19448348073.457","10117113333.333","9651149301.8746","13281767142.857","15565480321.945","18138049095.607","20249694002.448","18525399201.597","17609048821.549","18920840000","22278423076.923","21774033333.333","24298032258.065","26579005558.365","28781715188.892","31598340778.216","30957483949.58","31708874594.164","33166519417.989","33768660882.793","37939748768.657","46438484107.579","48244309133.489","49984559471.366","51270569883.527","53369787318.625","53991289844.329","54724081490.51","60158929188.256","65108544250.042","69442943089.431","71819083683.74","79611888213.148","91631278239.324","102477779556.79","115279077465.23","128637983882.83","133355820262.92","149990529836.78","172885432686.94","195078573252.2","265236390328.63","293754781336","321379127909.35","351238399005.45","373902197869.16","416264800549.03","460201265527.98"
"Bulgaria","BGR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","19839230769.231","19870000000","19342000000","16563666666.667","17594944444.444","17155421052.632","20249294117.647","28101000000","22555941176.471","21988444444.444","20632090909.091","10943548387.097","10350515463.918","10832064941.654","9697416974.1697","18991484420.36","12294964837.623","11316127378.961","15031055046.758","13627325461.174","13245990274.458","14183446025.739","16403043849.83","21144957990.468","26157743368.872","29868657858.008","34380536495.674","44432811756.473","54480684188.444","52023801230.12","50760929302.515","57737040780.016","54288135058.793","55852123989.95","57157782909.931","50811995688.677","53964253211.84","59309748166.118","66370132238.391","68881010245.55","70368758395.141","84041493015.662","90346169914.935"
"Bahrain","BHR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","3072698328.4691","3467819148.9362","3645744680.8511","3735106382.9787","3905585106.383","3651861702.1277","3052393617.0213","3392021010.6383","3702393617.0213","3863563829.7872","4229787234.0426","4616223404.2553","4751063829.7872","5200265957.4468","5567553457.4468","5849467819.1489","6101861436.1702","6349202393.617","6183776595.7447","6621010372.3404","9062898936.1702","8976196808.5106","9593510638.2979","11074813829.787","13150159574.468","15968723404.255","18504760638.298","21730000000","25710904255.319","22938218085.106","25713271276.596","28776595744.681","30749308510.638","32539468085.106","33387712765.957","31050638297.872","32234973404.255","35473776595.745","37802005319.149","38653318085.106","34621807712.766","39288670212.766","44383297872.34"
"Bahamas, The","BHS","GDP (current US$)","NY.GDP.MKTP.CD","169803921.56863","190098039.21569","212254901.96078","237745098.03922","266666666.66667","300392156.86275","340000000","390196078.43137","444901960.78431","528137254.90196","538423153.69261","573400000","590900000","670900000","632400000","596200000","642100000","713000000","832400000","1139800100","1335300000","1426500000","1578300000","1732800000","2041100000","2320699900","2472500000","2713999900","2817900000","3062000000","3166000000","3111160000","3109000000","3092000000","3259000000","3429000000","3609000000","6332360000","6833220000","7683870000","8076470000","8317830000","8881160000","8870090000","9055290000","9836200000","10167250000","10618340000","10526000000","9981960000","10095760000","10070450000","10720400000","10395500000","10974800000","11672900000","11750800000","12253500000","12653600000","13058700000","9754600000","11527600000","12897400000"
"Bosnia and Herzegovina","BIH","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1255802469.1358","1866572953.7367","2786045321.6374","3671909673.044","4116774300.6067","4686256363.0471","5567772768.8119","5800615466.2665","6728220886.6455","8498894359.3863","10156541538.399","11222796336.543","12864841905.954","15778734264.379","19112796623.118","17613949091.229","17176315803.73","18644233537.109","17226735995.69","18179108530.526","18558733564.469","16404348871.444","17116926327.625","18326373366.111","20484053868.925","20482608755.379","20226036564.413","23649568276.845","24473906673.709"
"Belarus","BLR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9200000000","16416666666.667","14952100840.336","13970425776.755","14756846153.846","14130585516.179","15221352698.894","12138243080.626","12736780455.154","12354820143.885","14594900944.766","17825444724.488","23141566292.946","30210091836.829","36961894281.344","45275711995.825","60752106347.126","50873167326.041","57231904542.875","61762382327.932","65685890438.892","75527558966.447","78812805039.074","56454889146.609","47723545321.259","54725302249.809","60031173807.72","64410122847.351","61371755326.235","69673747131.87","72793457588.437"
"Belize","BLZ","GDP (current US$)","NY.GDP.MKTP.CD","28072478.072478","29964999.965","31857591.857592","33750113.750114","36194586.194586","40110040.11004","44450044.450044","47431255.747674","44999910.00018","47399905.20019","53339893.320213","59074687.196185","65998069.384763","78214767.83015","103160450.44587","118194026.25157","97094227.229247","117650000","136300000","151800000","197938222.43","196089854.655","182206326.985","192103185.955","214381949.02","212643742.665","231638320.535","281082558.585","320093360.27","369133890.705","545686365.52318","594975697.04556","693625168.24559","750018765.32771","769649509.4811","816491620.22881","848205276.86964","870861115.17749","926550756.03973","996906468.69478","1134756760.6207","1168127973.9435","1240059540.0935","1303381860.7567","1394273990.6","1468145956.1992","1584207353.2205","1699214298.9144","1731921564.0667","1681473348.4347","1739070295.4403","1818831938.1776","1899503249.8643","2021757434.1806","2125125606.2572","2194709309.242","2240593542.9757","2266664817.0882","2292787335.6245","2386792476.1064","2047727810.0678","2424575179.3783","2830507575.6841"
"Bermuda","BMU","GDP (current US$)","NY.GDP.MKTP.CD","84466652.588891","89249985.125002","94149984.308336","96366650.605558","107566648.73889","114339050.28585","134173375.33543","155102980.09435","150000000","164900000","186300000","211100000","235400000","269500000","312600000","345000000","386300000","447000000","475800000","517200000","613299968","739100032","785500032","889400000","985699968","1039500032","1173500032","1296499968","1415100032","1501500032","1592400000","1634900000","1679900000","1820359900","1867160100","2030750000","2695390000","2932827000","3130748000","3324433000","3480219000","3680483000","3937228000","4186525000","4484703000","4868136000","6144000000","6767000000","6980000000","6656000000","6634526000","6312691000","6378188000","6465756000","6413988000","6654541000","6899911000","7142316000","7225977000","7423465000","6887147000","7127200000","7546000000"
"Bolivia","BOL","GDP (current US$)","NY.GDP.MKTP.CD","373250000","406000000","443916666.66667","478000000","538583333.33333","598333333.33333","662500000","748250000","849333333.33333","920333333.33333","1006833333.3333","1084666666.6667","1286153846.1538","1263600000","2101300000","2405900000","2733350000","3229050000","3760100000","4510500000","4450368036.6945","5778487836.5384","5600385567.8076","5414008064.0346","6169304491.5373","5377276656.9045","3959383519.7804","4347956337.8334","4597611710.0213","4715973437.3937","4867582597.5233","5343262457.1023","5643868748.6813","5734699488.8493","5981222858.8273","6715161732.2266","7396949126.3569","7925736821.4503","8497494652.1255","8285064434.5683","8397855484.7691","8141516928.3949","7905485146.4435","8082399639.543","8773451751.5121","9549122905.3285","11451844902.221","13120108008.348","16674276285.896","17339992193.732","19649723722.103","23963164696.592","27084497481.91","30659338885.673","32996188017.366","33000198248.915","33941126193.922","37508642170.767","40287647930.535","40895322850.941","36629843806.078","40406111695.179","44008282877.961"
"Brazil","BRA","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","425595310393.46","461951781818.18","407337837837.84","390590371724.56","438302216833.01","546229749726.26","769333050986.9","850426432991.74","883206179730.46","863710759256.43","599642024319.53","655448231983.53","559983634798.98","509795273806.72","558233745651.87","669289424806.31","891633839853.1","1107626541710.7","1397114486471.4","1695855083552.1","1666996438681.5","2208837745214.2","2616156223977.5","2465227803011.6","2472819535742.7","2456043727198.9","1802212206904.7","1795693482652.5","2063514977334.3","1916933898038.4","1873288205186.4","1476107231194.1","1649622821885.1","1920095779022.7"
